name,artist,release_date,genres,popularity
Laka,Emapea,2016,"['chillhop','jazz boom bap']",41
Taking You Home,Javier Navarrete,2019,"['latin soundtrack','chillhop','classic rock','electric blues']",8
Need Your Love So Bad,B.B. King,2005,"['blues','blues rock','classic rock','electric blues','jazz blues','soul blues','traditional blues']",24
On a Hilltop Sat the Moon,Amon Tobin,2019,"['big beat','drill and bass','electronica','intelligent dance music','jazztronica','ninja','nu jazz','trip hop']",47
"Heroes Get Remembered, Legends Never Die",Four Year Strong,2007,"['alternative emo','anthem emo','easycore','emo','melodic hardcore','neon pop punk','new england emo','pop punk','screamo','worcester ma indie']",48
Sweat (feat. Toy Connor),Party Favor,2014,"['bass trap','edm','electro house','electronic trap']",31
better alone,Lykke Li,2018,"['art pop','dance pop','electropop','pop','swedish electropop','swedish indie pop','swedish pop']",52
The Edge Of Glory,Lady Gaga,2011,"['dance pop','pop','pop dance']",63
Turandot / Act 2: Ho una casa nellHonan,Giacomo Puccini,1973,"['classical','italian opera','italian romanticism','post-romantic era']",21
Lamb of God,Tenth Avenue North,2012,"['anthem worship','ccm','christian alternative rock','christian music','christian pop','christian rock','world worship','worship']",36
...Baby One More Time,Britney Spears,1999,"['dance pop','pop','pop dance','pop rap','post-teen pop']",77
Shadow,Chromatics,2017,"['alternative dance','art pop','chillwave','electronica','electropop','indietronica','modern dream pop','neo-synthpop','new rave']",53
Take Me Home - 2016 Remaster,Phil Collins,1985,"['mellow gold','rock drums','soft rock']",56
I Lift My Hands,Chris Tomlin,2010,"['ccm','christian alternative rock','christian music','world worship','worship']",51
One Hand Killing,Twelve Foot Ninja,2016,['djent'],42
Somthings Missing,The Internet,2015,"['alternative r&b','escape room','indie soul','lgbtq+ hip hop']",44
The Woman That Loves You,Japanese Breakfast,2016,"['art pop','bubblegrunge','eugene indie','indie pop','indie rock','philly indie']",43
Girls That Dance,Masego,2016,"['alternative r&b','indie soul']",54
What About Me (feat. Post Malone),Lil Wayne,2018,"['hip hop','new orleans rap','pop rap','rap','trap']",65
Psychosocial,Slipknot,2008,"['alternative metal','double drumming','nu metal','rap metal']",73
Show Me,Audrey Assad,2010,"['anthem worship','ccm','christian alternative rock','christian music','indiecoustica','roots worship','world worship','worship']",32
So Gone [What My Mind Says] - feat. Paul Wall,Jill Scott,2011,"['hip hop','hip pop','neo soul','quiet storm','r&b','soul','urban contemporary']",42
"Life, Life (Andy Stott Remodel)",Ryuichi Sakamoto,2018,"['anime score','compositional ambient','japanese classical','japanese soundtrack']",11
Stolen Moments,Cautious Clay,2018,"['alternative r&b','electropop','indie r&b','nyc pop','pop','vapor soul']",57
Humping game,Rachel Feinstein,2011,"['comedienne','deep comedy','new comedy']",19
Encore,Red Hot Chili Peppers,2016,"['alternative rock','funk metal','funk rock','permanent wave','rock']",55
Kanashimi no Hate,Elephant Kashimashi,2017,"['classic j-rock','j-pop','j-poprock','j-rock','japanese city pop']",23
Rich Friends,Portugal. The Man,2017,"['indie rock','modern alternative rock','modern rock','rock']",56
Cold,Static-X,2001,"['alternative metal','groove metal','industrial metal','industrial rock','nu metal','rap metal','rap rock']",51
Aria 2 - Pt. 5,Max Richter,2015,"['compositional ambient','post-minimalism','soundtrack']",33
Whats Yours is Mine,The Raconteurs,2019,"['alternative rock','garage rock','garage rock revival','indie rock','modern alternative rock','modern blues rock','modern rock','rock','supergroup']",49
Little Boxes,Pete Seeger,1999,"['american folk revival','appalachian folk','banjo','folk','folk rock','old-time','traditional folk']",43
View,SHINee,2015,"['k-pop','k-pop boy group','korean pop']",62
Because Of Your Love,Phil Wickham,2009,"['anthem worship','ccm','christian alternative rock','christian indie','christian music','indiecoustica','world worship','worship']",32
In Your Eyes,Tribal Seeds,2011,"['reggae','reggae rock','roots reggae','west coast reggae']",54
How Dat Sound (feat. 2 Chainz & Yo Gotti),Trey Songz,2018,"['dance pop','pop','r&b','urban contemporary']",66
Housework Song,Kimbo Childrens Music,1995,['childrens music'],0
Semper Fi,Trace Adkins,2011,"['contemporary country','country','country road','modern country rock','redneck']",47
Im A One Woman Man,George Jones,2006,"['country','country rock','honky tonk']",41
Son Borinqueno,Dan Zanes,2019,"['childrens folk','childrens music','kindie rock','preschool childrens music']",0
For A Boy,RaeLynn,2015,"['contemporary country','country pop','deep talent show']",47
In My Head,Tommy Guerrero,1997,"['electronica','funk']",44
Thought About You,Tim McGraw,2019,"['contemporary country','country','country road']",69
Come Thou Fount,Sam Ock,2014,"['ambeat','world worship']",29
sobeautiful,Musiq Soulchild,2008,"['dance pop','hip pop','neo soul','new jack swing','quiet storm','r&b','urban contemporary']",59
Gettin In the Way,Jill Scott,2000,"['hip hop','hip pop','neo soul','quiet storm','r&b','soul','urban contemporary']",42
I and I Survive - A-Bot Dub Remix,Bad Brains,2014,"['alternative rock','black punk','dc hardcore','hardcore punk','nyhc','punk','ska punk']",24
Mad World,Tears For Fears,1983,"['dance rock','new romantic','new wave','new wave pop','permanent wave','pop rock','rock','soft rock','sophisti-pop','synthpop']",65
Baby Oil,Galante El Emperador,2013,"['latin hip hop','reggaeton','reggaeton flow','trap latino']",23
Shape Of Miracle,RADWIMPS,2018,"['j-pop','j-poprock','j-rock','japanese emo','visual kei']",18
Delta Airlines,John Mulaney,2012,"['comedy','comic']",47
"Honey, Im Good.",Andy Grammer,2014,"['dance pop','modern rock','neo mellow','pop','pop rock','post-teen pop']",70
How Do the Fools Survive?,The Doobie Brothers,1978,"['album rock','art rock','blues rock','classic rock','country rock','folk rock','hard rock','heartland rock','mellow gold','rock','soft rock','yacht rock']",35
Senior Skip Day,Mac Miller,2010,"['hip hop','pittsburgh rap','pop rap','rap']",62
Underground,Austin Wintory,2015,"['indie game soundtrack','scorecore','soundtrack','video game music']",35
Grip,Seeb,2018,"['dance pop','edm','electro house','norwegian pop','pop','pop dance','pop edm','swedish pop','tropical house']",81
Honky Tonk Attitude,Joe Diffie,2011,"['country','country road','country rock','oklahoma country','redneck']",42
Tadarida,James Newton Howard,2005,"['german soundtrack','soundtrack']",37
A.S.C.O.,Ali Farka Touré,1999,"['afrobeat','afropop','desert blues','malian blues','mande pop','world']",30
Illuminate,Orbital,2001,"['big beat','breakbeat','electronica','hardcore techno','intelligent dance music','rave']",46
Truffle Butter,Nicki Minaj,2015,"['dance pop','hip pop','pop','pop dance','pop rap','post-teen pop','queens hip hop']",67
Gallaghers World Tour,Bill Hicks,2018,"['comedy','comic']",19
Misty Head / Sunny Street,Oscar Jerome,2019,"['indie jazz','indie r&b','indie soul','neo r&b','uk contemporary jazz']",45
Je veux être un bisounours,Bernard Minet,2018,['french movie tunes'],7
Cry Baby,Cage The Elephant,2015,"['indie rock','modern alternative rock','modern rock','punk blues','rock']",50
Last Kiss,Pearl Jam,1999,"['alternative rock','grunge','permanent wave','pop rock','rock']",71
Romulus,Sufjan Stevens,2003,"['baroque pop','chamber pop','freak folk','indie folk','singer-songwriter']",45
Pogo,Digitalism,2007,"['alternative dance','big beat','dance-punk','disco house','electro house','electronica','indietronica','new rave']",51
Hey Mama,The Black Eyed Peas,2003,"['dance pop','pop','pop dance','pop rap']",49
Blue Chips,DaniLeigh,2018,"['pop','pop r&b','pop rap','r&b','rap','rap latina']",51
Yoda and the Force,John Williams,1980,['soundtrack'],35
Strive,The Expendables,2001,"['reggae rock','west coast reggae']",27
Deck the Halls (Arr. for Choir & Chamber Ensemble),Vienna Boys Choir,2019,"['austrian choir','childrens choir','choral']",0
Fangs,Night Riots,2016,"['indie pop','indie poptimism','modern alternative rock','modern rock','pop rock']",53
Portal,Pinegrove,2018,"['indie folk','indie rock','new jersey indie','small room']",49
Comfortable,Alessia Cara,2018,"['canadian contemporary r&b','canadian pop','dance pop','electropop','pop','pop dance','post-teen pop']",45
#22,Aphex Twin,1994,"['ambient','braindance','electronica','intelligent dance music','uk experimental electronic']",28
Strong Woman,Popcaan,2018,"['dancehall','reggae fusion']",44
Pitbull Terrier,Die Antwoord,2014,"['african rock','south african alternative','south african hip hop']",55
Till Dawn (Here Comes The Sun),The Weeknd,2012,"['canadian contemporary r&b','canadian pop','pop']",55
Independence Day,Martina McBride,2001,"['contemporary country','country','country dawn','country road']",52
Say Less,MEMBA,2019,"['bass trap','electronic trap','future bass','indian edm','pop edm','traprun','vapor twitch']",47
No Hay Nadie Como Tú,Calle 13,2008,"['latin','latin afrobeat','latin alternative','latin hip hop','puerto rican rock','rap conciencia','reggaeton','rock en espanol','tropical']",50
Strange Clouds,B.o.B,2011,"['atl hip hop','dance pop','hip hop','pop','pop dance','pop rap','pop rock','rap','southern hip hop']",46
Tha,Aphex Twin,1992,"['ambient','braindance','electronica','intelligent dance music','uk experimental electronic']",47
"O Come, O Come, Emmanuel",Kim Walker-Smith,2014,"['anthem worship','ccm','christian music','deep ccm','world worship','worship']",32
Two Weeks & Counting...,Clint Mansell,2009,"['british soundtrack','compositional ambient','scorecore','soundtrack']",30
Youre The One That I Want,Alex & Sierra,2016,"['indie cafe pop','neo mellow','pop','post-teen pop','viral pop']",58
Where My Girls At,702,1999,"['girl group','hip pop','neo soul','new jack swing','r&b','urban contemporary']",65
Zenith,Denzel Curry,2016,"['dark trap','drill','hip hop','miami hip hop','rap','underground hip hop']",55
Send For Me,Atlantic Starr,1986,"['disco','funk','motown','new jack swing','post-disco','quiet storm','soul','urban contemporary']",46
Grand Theft Autumn / Where Is Your Boy,Fall Out Boy,2003,"['emo','modern rock','pop punk']",62
Super Freak,Rick James,1981,"['disco','funk','motown','post-disco','quiet storm','soul','synth funk']",70
Sigues Preguntando,Alex Rose,2018,"['latin','reggaeton','reggaeton flow','trap latino']",66
For the Good Times,Al Green,1972,"['classic soul','funk','memphis soul','quiet storm','soul','soul blues','southern soul']",49
Sabor A Mi,Kenny G,2008,"['smooth jazz','smooth saxophone']",43
Six Feet,Strung Out,1996,"['melodic hardcore','pop punk','punk','ska punk','skate punk']",20
W.A.N.T.S,Global Dan,2019,"['emo rap','melodic rap','sad rap','underground hip hop','vapor trap']",59
I Aint Blue - Remastered,Bonnie Raitt,2016,"['classic rock','country rock','electric blues','folk','folk rock','lilith','mellow gold','pop rock','rock','roots rock','singer-songwriter','soft rock']",29
Shake It Out,Florence & The Machine,2011,"['uk alternative pop', 'pop', 'baroque pop']",65